,,
MIN,Item Name,Department
105629850,Morrisons Fresh Cream Strawberry Sundae,Cakeshop
105867487,M Fresh Cream Black Forest Gateau,Cakeshop
106251203,Morrisons Fresh Cream Lemon Muffins 2Pk,Cakeshop
105630324,Market Street Butterfly Sponge,Cakeshop
105630068,Morrisons Fresh Cream Black Cherry Sundae,Cakeshop
105630308,Market Street Large Fresh Cream Chocolate Sponge,Cakeshop
108102261,Morrisons Raspberry Trifle,Cakeshop
105529322,Morrisons Profiterole Stack 12Pk,Cakeshop
105713411,The Best Triple Chocolate Cookies 4Pk,Cakeshop
105492742,Morrisons Belgian Bun 2Pk,Cakeshop
105615239,M Chocolate Chunk Muffin 4 Pack,Cakeshop
108808212,Morrisons The Best Belgian Milk Chocolate Shortbread Cookies 4Pk,Cakeshop
105713373,The Best Belgian Milk Cookies 4Pk,Cakeshop
105615167,M Blueberry Muffins 4Pk,Cakeshop
105713293,M Milk Chocolate Chunk Cookies 5 Pack,Cakeshop
105615183,M Triple Choc Muffins 4 Pack,Cakeshop
105615212,M Lemon Muffins 4Pk,Cakeshop
105493913,Morrisons Cinnamon Bun 2Pk,Cakeshop
108808239,Morrisons The Best Granola Squares 4Pk,Cakeshop
105713251,M White Chocolate Chunk Cookies 5 Pack,Cakeshop
105658175,Morrisons Pecan Plait 2Pk,Cakeshop
107733028,Morrisons Portuguese Tarts 2 Pack,Cakeshop
105713314,M Oat And Raisin Cookies 5 Pack,Cakeshop
105713277,M Double Chocolate Chunk Cookies 5 Pack,Cakeshop
113250727,Market Street Toffee Yum Yums 4 Pk,Cakeshop
113250751,Market Street Yum Yums 4 Pk,Cakeshop
105658095,Morrisons Cinnamon Swirl 2Pk,Cakeshop
105658255,Morrisons Eccles Cake 2Pk,Cakeshop
105713197,M Vanilla Creme Crowns 2 Pack,Cakeshop
105658191,Morrisons Apple Turnover 2Pk,Cakeshop
113178374,Market Street Caramelised Biscuit Brownie Bowl,Cakeshop
104788912,French Brie 125g,Deli
104789350,Edam Ball 125G,Deli
104789579,Bavarian Smoked Cheese 125G,Deli
104899401,Wensleydale And Cranberry Cheese 125G,Deli
105082348,Cambozola Cheese 125G,Deli
104789595,Applewood Smoked Cheddar 125G,Deli
104789499,Red Fox Crunchy Red Leicester 125G,Deli
104786765,Clawson Reserve Blue Stilton 125g,Deli
105549577,Cricket St Thomas Somerset Brie 125G,Deli
104786247,Tickler Extra Mature Cheddar 125g,Deli
110278441,Wensleydale & Apricots  Cheese 125g,Deli
105137581,Wensleydale Cheddar With Pickled Onion 125G,Deli
104786896,Shepherd Purse Yorkshire Blue 125g,Deli
104789552,Traditional Wensleydale 125G,Deli
105174584,Blacksticks Blue 125G,Deli
105547230,Morrisons Double Gloucester  With Onion And Chives 125G,Deli
109846894,Morrisons The Best Cropwell Bishop Blue Stilton,Deli
104786191,Davidstow Cheddar 125g,Deli
104788939,Isigny Creamy Brie 125G,Deli
104786079,Wyke Mature Cheddar 125g,Deli
104789843,White Stilton Exp 125G,Deli
104806471,Belton'S Cheshire Cheese 125G,Deli
104806498,Coloured Cheshire Cheese 125G,Deli
111543577,Market Street Deli Thickly Sliced Wiltshire Ham 125G,Deli
109086768,WILTSHIRE HAM,Deli
109087429,M ROAST PORK,Deli
109088798,Pressed Ox Tongue 150G,Deli
109085790,BELGIUM BEER HAM,Deli
109086872,Yorkshire Cured Ham 150G,Deli
109086952,Oven Roasted Conti Ham 150G,Deli
109088915,Pork Lunch Tongue 150G,Deli
109086549,OUTDOOR REARED HAM ON BONE,Deli
109087672,Roast Turkey Breast 150G,Deli
105488559,4 Large Vegetable Samosas,Deli
110184883,4 Red Onion Bhajis,Deli
110184816,4 Chicken Katsu Spring Rolls,Deli
105517786,4 Large Chicken Satay Skewers,Deli
110184533,4 Duck Spring Rolls,Deli
106584032,12 Vegetable Spring Rolls,Deli
110184744,4 Large Vegetable Pakoras,Deli
105520985,12 Mini Sweet Chilli Chicken Satays,Deli
106584198,12 Mini Vegetable Samosas,Deli
111988832,FTO Large Savoury Snack Platter (102 Pieces),Deli
114715952,FTO The Best Charcuterie Platter (90 Pieces),Deli
111988795,FTO Savoury Snack Platter (54 Pieces),Deli
