MIN,Item Name,Department
111988710,MORRISONS PLOUGHMANS GRAZING BOX,FTO Deli
111988736,MORRISONS SMALL CHEESE BOX,FTO Deli
111988752,MORRISONS LARGE CHEESE BOX,FTO Deli
111988779,MORRISONS CONTINENTAL GRAZING BOX,FTO Deli
111988795,MORRISONS SAVOURY GRAZING BOX,FTO Deli
111988816,MORRISONS LARGE CONTINENTAL GRAZING BOX,FTO Deli
111988832,MORRISONS LARGE SAVOURY GRAZING BOX,FTO Deli
102780968,SPICY CHICKEN PASTA 750G (L),FTO Food_To_Go
104490243,Deli Style Potato Salad 900g,FTO Food_To_Go
104490331,Italian Pasta 750g,FTO Food_To_Go
104490673,Tuna & S'Corn Pasta 900g,FTO Food_To_Go
109272835,MORRISONS 16 PIECE WRAP PLATTER 1.4KG (CO),FTO Food_To_Go
109894731,MORRISONS 8 PIECE GLUTEN FREE SANDWICH PLATTER,FTO Food_To_Go
110811226,MORRISONS MEAT SANDWICH PLATTER 1.4KG (CO),FTO Food_To_Go
110816596,MORRISONS VEGGIE SANDWICH PLATTER 893G (CO),FTO Food_To_Go
111528123,MORRISONS CLASSIC SANDWICH PLATTER 821G (CO),FTO Food_To_Go
112657736,MORRISONS PASTA BACON & CHEESE SALAD 750G,FTO Food_To_Go
112658122,SWEET CHILLI NOODLES 750G,FTO Food_To_Go
112675395,MORRISONS TOMATO AND BASIL COUSCOUS 750G,FTO Food_To_Go
114027033,DEL MONTE FRUIT PLATTER 1.17KG,FTO Food_To_Go
114131199,MORRISONS SANDWICH PARTY PLATTER,FTO Food_To_Go
114182501,MORRISONS GLUTEN FREE SANDWICH PLATTER,FTO Food_To_Go
114200879,MORRISONS SUSHI PLATTER,FTO Food_To_Go
114230402,MORRISONS CHRISTMAS SANDWICH PLATTER,FTO Food_To_Go
104721494,White Split Tin 800G,In Store Bakery
104721523,White Split Tin 800G Sliced,In Store Bakery
104721582,'M' White Split Tin 400G,In Store Bakery
104721603,'M' White Split Tin 400G Sliced,In Store Bakery
104721654,Bloomer/White Bread 800G,In Store Bakery
104721718,Bloomer/White Bread 400G,In Store Bakery
104721742,Bloomer/White Bread 400G Sliced,In Store Bakery
104726439,M Wholemeal Bread 800G ,In Store Bakery
104726471,M Wholemeal Bread 400G ,In Store Bakery
104726674,M Tiger Bread 400G ,In Store Bakery
104726720,M Tiger Bread 800G ,In Store Bakery
104727811,M Wholemeal Bread Sliced 400G ,In Store Bakery
104728872,M Granary Loaf/ Malted Brown 800G,In Store Bakery
104728995,M Granary Loaf/ Malted Brown Sliced 800G,In Store Bakery
104729138,M Granary Loaf/ Matled Brown Sliced 400G,In Store Bakery
104735722,Morrisons Small White Baguette,In Store Bakery
104735773,M Small Tiger Stick ,In Store Bakery
104736151,M Large White Baguette 400G,In Store Bakery
104737891,Sandwich Baguette White 4Pk,In Store Bakery
104737939,M Large White Baps 6Pk,In Store Bakery
104738026,Farmhouse/White Bread 800G,In Store Bakery
